simulation_id,timestamp,arrival_rate,expert_weights,complexity_sigma,tx_count,tx_by_model,total_bytes,duration_s,energy_j,power_w,j_per_tx,tx_per_second,blocks_used,start_block,end_block
133,2026-01-25T14:53:24.366207,23.06,"{""Fast"": 0.4501946268218378, ""Standard"": 0.3349483939755255, ""Complex"": 0.16873549231230978, ""Ensemble"": 0.04612148689032687}",0.617,100,"{""1"": 30, ""0"": 52, ""2"": 14, ""3"": 4}",43759,6.22,151.79,24.39,1.5179,16.07,1,270,271
134,2026-01-25T14:53:36.075258,17.17,"{""Fast"": 0.5388583405364511, ""Standard"": 0.2593372584907936, ""Complex"": 0.15415374447131777, ""Ensemble"": 0.04765065650143737}",0.477,99,"{""2"": 13, ""3"": 4, ""0"": 57, ""1"": 25}",37178,5.93,143.52,24.22,1.4497,16.71,1,272,273
135,2026-01-25T14:53:48.121098,27.77,"{""Fast"": 0.5187893702299022, ""Standard"": 0.31132402585942354, ""Complex"": 0.12470650613997508, ""Ensemble"": 0.04518009777069913}",0.513,100,"{""0"": 48, ""2"": 15, ""1"": 35, ""3"": 2}",43112,5.93,142.27,24.01,1.4227,16.88,1,274,275
136,2026-01-25T14:54:00.306907,25.34,"{""Fast"": 0.5203456692091136, ""Standard"": 0.2728025168911203, ""Complex"": 0.16068059075201585, ""Ensemble"": 0.04617122314775023}",0.908,100,"{""0"": 48, ""2"": 18, ""1"": 30, ""3"": 4}",49733,6.22,154.87,24.9,1.5487,16.08,1,276,277
137,2026-01-25T14:54:12.308662,22.32,"{""Fast"": 0.469813694074337, ""Standard"": 0.3075732874510647, ""Complex"": 0.17798828905172015, ""Ensemble"": 0.04462472942287815}",0.89,100,"{""0"": 45, ""1"": 33, ""2"": 15, ""3"": 7}",50611,6.22,150.04,24.1,1.5004,16.07,1,278,279
138,2026-01-25T14:54:24.351765,16.22,"{""Fast"": 0.47321808878354865, ""Standard"": 0.3047306680498492, ""Complex"": 0.165899780466599, ""Ensemble"": 0.05615146270000297}",0.818,98,"{""2"": 19, ""1"": 33, ""0"": 46}",46040,6.23,149.43,23.99,1.5247,15.73,1,280,281
139,2026-01-25T14:54:36.354091,16.69,"{""Fast"": 0.561837046158186, ""Standard"": 0.2634111900237948, ""Complex"": 0.13098536158998275, ""Ensemble"": 0.0437664022280365}",0.608,100,"{""0"": 57, ""1"": 31, ""2"": 10, ""3"": 2}",37196,6.23,147.5,23.68,1.475,16.05,1,282,283
140,2026-01-25T14:54:48.085423,26.85,"{""Fast"": 0.46618958294347673, ""Standard"": 0.3362627759276221, ""Complex"": 0.14096507765458158, ""Ensemble"": 0.05658256347431967}",0.671,93,"{""1"": 31, ""2"": 11, ""3"": 7, ""0"": 44}",49161,5.91,143.99,24.36,1.5483,15.73,1,284,285
141,2026-01-25T14:55:00.373816,10.35,"{""Fast"": 0.5237165137783726, ""Standard"": 0.27310831615517167, ""Complex"": 0.15864878734532611, ""Ensemble"": 0.04452638272112961}",0.823,100,"{""1"": 39, ""0"": 48, ""2"": 11, ""3"": 2}",40200,6.23,155.01,24.88,1.5501,16.05,1,286,287
142,2026-01-25T14:55:12.105657,28.22,"{""Fast"": 0.47726625570334613, ""Standard"": 0.3027729662626329, ""Complex"": 0.1712545852389517, ""Ensemble"": 0.04870619279506933}",0.807,100,"{""0"": 40, ""1"": 34, ""2"": 20, ""3"": 6}",60069,5.92,142.13,23.99,1.4213,16.88,1,288,289
143,2026-01-25T14:55:24.125733,27.39,"{""Fast"": 0.51320061993813, ""Standard"": 0.27568081390380317, ""Complex"": 0.15889804515193098, ""Ensemble"": 0.052220521006135744}",0.576,90,"{""1"": 31, ""0"": 40, ""2"": 15, ""3"": 4}",40327,5.91,141.13,23.87,1.5681,15.22,1,290,291
144,2026-01-25T14:55:36.090979,21.34,"{""Fast"": 0.4988291938659145, ""Standard"": 0.3173562654531196, ""Complex"": 0.1342036342088537, ""Ensemble"": 0.04961090647211228}",0.483,100,"{""1"": 31, ""0"": 54, ""2"": 12, ""3"": 3}",38481,5.93,141.09,23.81,1.4109,16.88,1,292,293
145,2026-01-25T14:55:48.295625,17.39,"{""Fast"": 0.5248095677734785, ""Standard"": 0.2933492320384334, ""Complex"": 0.14061375954577437, ""Ensemble"": 0.041227440642313685}",0.478,100,"{""0"": 52, ""1"": 35, ""2"": 10, ""3"": 3}",40734,6.23,148.7,23.86,1.487,16.04,1,294,295
146,2026-01-25T14:56:00.305240,14.09,"{""Fast"": 0.5043925877233557, ""Standard"": 0.2834228422983378, ""Complex"": 0.1563180819512079, ""Ensemble"": 0.055866488027098815}",0.501,100,"{""1"": 28, ""3"": 9, ""0"": 49, ""2"": 14}",46957,6.23,156.81,25.17,1.5681,16.05,1,296,297
147,2026-01-25T14:56:12.349689,25.15,"{""Fast"": 0.512258161528298, ""Standard"": 0.28038207055855147, ""Complex"": 0.15026940239156458, ""Ensemble"": 0.057090365521585945}",0.902,100,"{""0"": 53, ""1"": 24, ""3"": 4, ""2"": 19}",41834,6.23,149.27,23.96,1.4927,16.05,1,298,299
148,2026-01-25T14:56:24.373912,29.24,"{""Fast"": 0.45867556423346284, ""Standard"": 0.3272323449872909, ""Complex"": 0.1609527341768798, ""Ensemble"": 0.05313935660236657}",0.688,100,"{""2"": 18, ""1"": 30, ""0"": 45, ""3"": 7}",42699,6.23,147.65,23.69,1.4765,16.05,1,300,301
